packets_rank,headers_length,size_compress,level_compress_0,level_compress_1,level_compress_2,level_compress_3,level_compress_4,level_compress_5,level_compress_6,level_compress_7,level_compress_8,level_compress_9,level_compress_10,level_compress_11,level_compress_12,level_compress_13,level_compress_14,level_compress_15,level_compress_16,level_compress_17,level_compress_18,level_compress_19,level_compress_20,level_compress_21,level_compress_22,level_compress_23,level_compress_24,level_compress_25,level_compress_26,level_compress_27,level_compress_28,level_compress_29,level_compress_30,level_compress_31
1,32,24,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,14,14,14,14,14,14,14,14,14,16,17,18,18,20,20,23,24
2,32,23,1,2,3,4,5,6,7,8,9,10,11,12,12,12,14,15,15,15,15,15,15,15,15,15,16,17,18,18,20,20,23,23
0,32,23,1,2,3,4,5,6,7,8,8,8,10,11,11,11,11,15,15,15,15,15,15,15,15,15,16,17,17,19,19,21,21,23
1,32,23,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,17,17,17,17,21,22,23
2,32,17,1,2,3,4,5,6,7,8,9,10,11,11,11,11,11,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17
0,32,22,1,2,3,4,5,6,7,8,9,9,9,11,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,19,19,21,22,22
1,32,22,1,2,3,4,5,6,7,8,8,8,8,11,12,12,14,15,15,15,15,15,15,15,15,15,16,17,18,18,18,21,22,22
2,32,23,1,2,3,4,5,6,7,8,9,9,9,9,9,13,14,14,14,14,14,14,14,14,14,14,16,17,18,19,20,20,22,23
0,32,22,1,2,3,4,5,6,7,8,8,8,10,11,12,13,14,15,15,15,15,15,15,15,15,15,16,17,17,20,20,21,22,22
1,32,24,1,2,3,4,5,6,7,8,9,9,9,11,12,12,15,15,15,15,15,15,15,15,15,15,15,15,18,19,19,19,22,24
2,32,20,1,2,3,4,5,6,7,8,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,18,18,18,20,20,20
0,32,23,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,17,17,17,20,20,22,23
1,32,23,1,2,3,4,5,6,7,8,8,8,10,11,12,12,14,14,14,14,14,14,14,14,14,14,16,16,18,18,18,20,22,23
2,32,23,1,2,3,4,5,6,7,8,9,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,16,17,18,19,20,20,22,23
0,32,23,1,2,3,4,5,6,7,8,9,9,9,11,11,11,14,15,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,23
1,32,22,1,2,3,4,5,6,7,8,8,9,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,16,17,17,19,19,19,22
2,32,23,1,2,3,4,5,6,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,22,23
0,32,21,1,2,3,4,5,6,7,8,8,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12,16,16,18,18,18,21,21,21
1,32,24,1,2,3,4,5,6,7,8,8,8,8,8,12,12,12,16,16,16,16,16,16,16,16,16,16,16,18,20,20,20,20,24
2,32,21,1,2,3,4,5,6,7,8,9,10,11,11,11,11,14,14,14,14,14,14,14,14,14,14,14,17,17,17,20,21,21,21
0,32,23,1,2,3,4,5,6,7,8,8,8,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,17,17,19,20,21,21,23
1,32,23,1,2,3,4,5,6,7,8,8,10,11,12,13,13,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,21,21,23
2,32,20,1,2,3,4,5,6,7,8,8,9,10,10,12,12,12,15,15,15,15,15,15,15,15,15,16,16,16,19,20,20,20,20
0,32,23,1,2,3,4,5,6,7,8,8,9,9,9,12,12,14,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,22,23
1,32,23,1,2,3,4,5,6,7,8,8,8,8,10,10,10,14,14,14,14,14,14,14,14,14,14,14,17,18,19,20,21,22,23
2,32,22,1,2,3,4,5,6,7,8,9,9,10,11,11,13,13,13,13,13,13,13,13,13,13,13,16,17,17,17,20,21,22,22
0,32,19,1,2,3,4,5,6,7,8,9,9,10,10,12,13,13,15,15,15,15,15,15,15,15,15,16,17,18,19,19,19,19,19
1,32,24,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,15,15,15,15,15,15,15,15,15,15,15,18,18,20,20,23,24
2,32,23,1,2,3,4,5,6,7,8,8,9,10,10,10,13,13,15,15,15,15,15,15,15,15,15,16,16,18,18,18,21,22,23
0,32,22,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,14,14,14,14,14,14,14,14,14,16,16,18,18,19,19,22,22
1,32,22,1,2,3,4,5,6,7,8,9,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,16,17,18,18,19,21,22,22
2,32,24,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,15,15,15,15,15,15,15,15,15,16,16,16,16,20,20,22,24
0,32,22,1,2,3,4,5,6,7,8,8,9,10,11,13,14,14,16,16,16,16,16,16,16,16,16,16,17,18,18,20,22,22,22
1,32,24,1,2,3,4,5,6,7,8,9,10,10,11,12,13,15,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19,19,24
2,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,14,14,14,14,14,14,14,14,14,16,16,16,19,19,19,19,23
0,32,23,1,2,3,4,5,6,7,8,8,9,9,9,9,13,14,14,14,14,14,14,14,14,14,14,16,17,17,17,17,17,17,23
1,32,20,1,2,3,4,5,6,7,8,8,9,9,9,11,13,13,13,13,13,13,13,13,13,13,13,13,17,18,18,18,20,20,20
2,32,22,1,2,3,4,5,6,7,8,9,10,10,11,12,12,14,15,15,15,15,15,15,15,15,15,16,16,16,19,20,20,22,22
0,32,23,1,2,3,4,5,6,7,8,9,9,9,9,9,13,14,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,22,23
1,32,23,1,2,3,4,5,6,7,8,9,10,10,11,12,12,14,15,15,15,15,15,15,15,15,15,15,17,17,17,20,20,20,23
2,32,23,1,2,3,4,5,6,7,8,8,9,10,11,11,13,13,15,15,15,15,15,15,15,15,15,15,15,18,18,20,21,22,23
0,32,23,1,2,3,4,5,6,7,8,9,9,10,11,11,11,14,14,14,14,14,14,14,14,14,14,14,17,17,19,19,20,20,23
1,32,23,1,2,3,4,5,6,7,8,8,8,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,18,19,20,20,22,23
2,32,23,1,2,3,4,5,6,7,8,8,8,10,11,12,12,14,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,22,23
0,32,22,1,2,3,4,5,6,7,8,9,9,10,11,12,13,13,15,15,15,15,15,15,15,15,15,15,15,18,18,20,21,22,22
1,32,21,1,2,3,4,5,6,7,8,9,9,10,11,11,11,15,16,16,16,16,16,16,16,16,16,16,16,16,18,20,21,21,21
2,32,22,1,2,3,4,5,6,7,8,9,9,10,10,12,12,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,20,21,22
0,32,22,1,2,3,4,5,6,7,8,8,8,8,11,11,11,14,14,14,14,14,14,14,14,14,14,14,17,18,19,19,21,22,22
1,32,24,1,2,3,4,5,6,7,8,9,9,9,11,11,11,14,14,14,14,14,14,14,14,14,14,14,17,18,18,18,18,22,24
2,32,22,1,2,3,4,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,17,18,19,20,21,22,22
0,32,20,1,2,3,4,5,6,7,8,9,9,9,11,11,13,13,15,15,15,15,15,15,15,15,15,16,17,18,19,20,20,20,20
1,32,23,1,2,3,4,5,6,7,8,9,9,9,11,12,13,14,15,15,15,15,15,15,15,15,15,16,16,17,17,20,21,22,23
2,32,23,1,2,3,4,5,6,7,8,9,9,10,10,12,13,14,14,14,14,14,14,14,14,14,14,16,18,18,19,20,21,21,23
0,32,23,1,2,3,4,5,6,7,8,9,10,11,12,12,12,14,15,15,15,15,15,15,15,15,15,16,16,18,18,18,18,23,23
1,32,21,1,2,3,4,5,6,7,8,8,8,10,10,12,13,13,15,15,15,15,15,15,15,15,15,15,17,18,19,19,21,21,21
2,32,23,1,2,3,4,5,6,7,8,9,9,9,9,12,13,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,21,21,23
0,32,20,1,2,3,4,5,6,7,8,9,10,11,11,11,13,13,15,15,15,15,15,15,15,15,15,15,18,18,19,20,20,20,20
1,32,20,1,2,3,4,5,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,16,16,19,20,20,20,20
2,32,22,1,2,3,4,5,6,7,8,8,8,8,8,12,13,13,15,15,15,15,15,15,15,15,15,16,16,16,19,20,20,22,22
0,32,23,1,2,3,4,5,6,7,8,9,9,10,11,11,11,14,15,15,15,15,15,15,15,15,15,16,17,18,18,18,21,22,23
1,32,22,1,2,3,4,5,6,7,8,8,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,17,17,19,20,21,22,22
2,32,23,1,2,3,4,5,6,7,8,8,9,10,12,13,13,14,14,14,14,14,14,14,14,14,14,17,18,19,20,20,21,21,23
0,32,22,1,2,3,4,5,6,7,8,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,16,16,18,19,19,19,22,22
1,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,20,20,22,23
2,32,21,1,2,3,4,5,6,7,8,9,10,10,10,10,10,14,15,15,15,15,15,15,15,15,15,15,17,18,18,20,21,21,21
0,32,23,1,2,3,4,5,6,7,8,8,9,10,11,13,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,23
1,32,22,1,2,3,4,5,6,7,8,8,8,10,10,12,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,22,22
2,32,21,1,2,3,4,5,6,7,8,8,9,10,10,11,13,14,15,15,15,15,15,15,15,15,15,16,16,18,18,18,21,21,21
0,32,23,1,2,3,4,5,6,7,8,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,16,17,17,19,19,21,22,23
1,32,17,1,2,3,4,5,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,16,17,17,17,17,17,17,17
2,32,23,1,2,3,4,5,6,7,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,16,17,18,20,21,22,23
0,32,22,1,2,3,4,5,6,7,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,16,16,16,18,18,21,22,22
1,32,22,1,2,3,4,5,6,7,8,8,9,9,11,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,19,20,20,21,22
2,32,22,1,2,3,4,5,6,7,8,8,10,10,10,12,13,13,13,13,13,13,13,13,13,13,13,16,17,17,19,20,20,22,22
0,32,17,1,2,3,4,5,6,7,8,8,8,8,11,12,13,14,15,15,15,15,15,15,15,15,15,15,17,17,17,17,17,17,17
1,32,22,1,2,3,4,5,6,7,8,9,10,11,11,12,12,14,15,15,15,15,15,15,15,15,15,16,17,17,17,17,22,22,22
2,32,22,1,2,3,4,5,6,7,8,9,9,9,11,11,11,14,15,15,15,15,15,15,15,15,15,15,17,18,18,18,21,22,22
0,32,23,1,2,3,4,5,6,7,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,15,15,15,15,20,21,22,23
1,32,21,1,2,3,4,5,6,7,8,8,8,9,9,9,9,9,15,15,15,15,15,15,15,15,15,16,17,18,19,19,21,21,21
2,32,23,1,2,3,4,5,6,7,8,8,8,8,11,12,13,14,15,15,15,15,15,15,15,15,15,16,17,17,19,19,22,22,23
0,32,23,1,2,3,4,5,6,7,8,8,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,15,15,15,19,20,21,21,23
1,32,23,1,2,3,4,5,6,7,8,8,8,8,11,11,13,14,15,15,15,15,15,15,15,15,15,15,17,18,18,20,21,22,23
2,32,20,1,2,3,4,5,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,18,19,20,20,20,20
0,32,23,1,2,3,4,5,6,7,8,8,9,9,9,12,13,14,15,15,15,15,15,15,15,15,15,15,15,18,18,20,21,21,23
1,32,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,18,19,19,19,22,22
2,32,22,1,2,3,4,5,6,7,8,8,10,11,11,11,11,11,15,15,15,15,15,15,15,15,15,16,17,17,19,19,19,22,22
0,32,23,1,2,3,4,5,6,7,8,9,9,9,11,12,12,12,12,12,12,12,12,12,12,12,12,16,17,17,19,20,20,20,23
1,32,23,1,2,3,4,5,6,7,8,9,9,10,10,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,19,21,21,21,23
2,32,22,1,2,3,4,5,6,7,8,9,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,16,17,17,19,19,20,22,22
0,32,23,1,2,3,4,5,6,7,8,8,9,10,10,12,13,14,15,15,15,15,15,15,15,15,15,16,16,18,19,20,21,22,23
1,32,23,1,2,3,4,5,6,7,8,8,9,10,12,12,12,12,15,15,15,15,15,15,15,15,15,15,17,17,19,20,20,20,23
2,32,23,1,2,3,4,5,6,7,8,9,10,10,10,12,14,14,15,15,15,15,15,15,15,15,15,16,17,17,19,19,21,22,23
0,32,23,1,2,3,4,5,6,7,8,8,9,10,10,10,10,10,15,15,15,15,15,15,15,15,15,16,17,18,19,19,21,21,23
1,32,20,1,2,3,4,5,6,7,8,8,8,9,10,10,13,14,14,14,14,14,14,14,14,14,14,16,17,18,18,20,20,20,20
2,32,23,1,2,3,4,5,6,7,8,8,10,11,11,11,13,14,15,15,15,15,15,15,15,15,15,17,18,19,19,20,20,20,23
0,32,23,1,2,3,4,5,6,7,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,16,17,17,17,20,20,22,23
1,32,23,1,2,3,4,5,6,7,8,9,9,9,11,11,13,14,14,14,14,14,14,14,14,14,14,14,17,18,19,19,21,22,23
2,32,22,1,2,3,4,5,6,7,8,8,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,15,15,15,18,20,21,22,22
0,32,22,1,2,3,4,5,6,7,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,16,18,19,19,21,22,22,22
1,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,22,23
2,32,23,1,2,3,4,5,6,7,8,8,8,8,11,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,19,19,19,19,23
0,32,22,1,2,3,4,5,6,7,8,8,9,10,10,10,10,14,14,14,14,14,14,14,14,14,14,16,16,16,16,19,20,22,22
1,32,23,1,2,3,4,5,6,7,8,9,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,16,16,18,18,20,20,22,23
2,32,20,1,2,3,4,5,6,7,8,9,9,10,10,12,12,15,15,15,15,15,15,15,15,15,15,16,17,17,17,17,20,20,20
0,32,23,1,2,3,4,5,6,7,8,8,8,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,19,22,23
1,32,21,1,2,3,4,5,6,7,8,9,10,11,12,13,13,13,15,15,15,15,15,15,15,15,15,15,15,19,19,20,21,21,21
2,32,21,1,2,3,4,5,6,7,8,8,8,8,11,12,13,13,13,13,13,13,13,13,13,13,13,16,17,18,19,20,21,21,21
0,32,23,1,2,3,4,5,6,7,8,8,9,10,10,12,13,14,14,14,14,14,14,14,14,14,14,16,16,16,16,19,21,22,23
1,32,22,1,2,3,4,5,6,7,8,9,9,10,10,10,10,14,14,14,14,14,14,14,14,14,14,16,17,18,19,19,21,22,22
2,32,21,1,2,3,4,5,6,7,8,9,10,11,11,11,13,13,13,13,13,13,13,13,13,13,13,16,16,16,19,20,20,21,21
0,32,20,1,2,3,4,5,6,7,8,8,8,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,17,18,19,20,20,20,20
1,32,22,1,2,3,4,5,6,7,8,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,21,22,22
2,32,23,1,2,3,4,5,6,7,8,8,9,9,9,9,13,14,15,15,15,15,15,15,15,15,15,16,17,17,19,20,20,22,23
0,32,23,1,2,3,4,5,6,7,8,8,9,9,9,12,13,14,15,15,15,15,15,15,15,15,15,16,16,18,19,20,22,23,23
1,32,22,1,2,3,4,5,6,7,8,8,9,10,11,11,11,13,15,15,15,15,15,15,15,15,15,16,16,16,18,18,18,21,22
2,32,22,1,2,3,4,5,6,7,8,9,9,10,11,12,12,14,14,14,14,14,14,14,14,14,14,16,17,17,17,17,17,22,22
0,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,21,21,23
1,32,23,1,2,3,4,5,6,7,8,8,10,10,10,10,10,10,16,16,16,16,16,16,16,16,16,16,16,18,19,20,20,22,23
2,32,14,1,2,3,4,5,6,7,8,9,10,11,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
0,32,23,1,2,3,4,5,6,7,8,8,8,10,10,10,13,13,13,13,13,13,13,13,13,13,13,16,16,18,18,18,18,18,23
1,32,24,1,2,3,4,5,6,7,8,9,9,9,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,24
2,32,19,1,2,3,4,5,6,7,8,9,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,17,18,19,19,19,19,19,19
0,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,13,13,15,15,15,15,15,15,15,15,15,16,17,17,17,20,20,20,23
1,32,14,1,2,3,4,5,6,7,8,8,8,8,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2,32,23,1,2,3,4,5,6,7,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,23
0,32,23,1,2,3,4,5,6,7,8,9,10,11,11,12,12,12,15,15,15,15,15,15,15,15,15,16,17,18,19,20,20,22,23
1,32,25,1,2,3,4,5,6,7,8,8,8,8,11,12,13,14,14,14,14,14,14,14,14,14,14,16,19,20,21,21,21,24,25
2,32,23,1,2,3,4,5,6,7,8,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,15,16,17,19,19,19,22,23
0,32,21,1,2,3,4,5,6,7,8,9,10,10,10,10,13,14,14,14,14,14,14,14,14,14,14,14,14,18,19,20,21,21,21
1,32,23,1,2,3,4,5,6,7,8,9,9,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,22,23
2,32,23,1,2,3,4,5,6,7,8,9,9,9,9,12,12,14,15,15,15,15,15,15,15,15,15,15,15,18,19,19,19,23,23
0,32,23,1,2,3,4,5,6,7,8,9,9,10,10,10,10,14,14,14,14,14,14,14,14,14,14,16,16,16,16,19,21,21,23
1,32,20,1,2,3,4,5,6,7,8,8,9,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,19,19,20,20,20
2,32,21,1,2,3,4,5,6,7,8,9,9,10,11,12,13,13,15,15,15,15,15,15,15,15,15,15,17,18,19,19,21,21,21
0,32,22,1,2,3,4,5,6,7,8,9,9,10,10,10,13,13,15,15,15,15,15,15,15,15,15,15,15,15,20,21,22,22,22
1,32,21,1,2,3,4,5,6,7,8,8,9,9,9,12,13,14,15,15,15,15,15,15,15,15,15,16,17,17,19,19,21,21,21
2,32,22,1,2,3,4,5,6,7,8,8,8,10,11,12,12,12,12,12,12,12,12,12,12,12,12,16,17,17,17,20,20,21,22
0,32,24,1,2,3,4,5,6,7,8,9,10,11,11,11,13,14,14,14,14,14,14,14,14,14,14,16,16,19,19,19,19,19,24
1,32,23,1,2,3,4,5,6,7,8,8,9,9,10,12,13,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,18,22,23
2,32,22,1,2,3,4,5,6,7,8,9,9,10,10,10,10,14,16,16,16,16,16,16,16,16,16,17,18,19,19,20,21,22,22
0,32,22,1,2,3,4,5,6,7,8,8,9,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,17,17,17,20,20,22,22
1,32,22,1,2,3,4,5,6,7,8,9,10,10,10,10,10,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,22,22
2,32,23,1,2,3,4,5,6,7,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,22,23
0,32,22,1,2,3,4,5,6,7,8,8,8,10,10,12,13,13,15,15,15,15,15,15,15,15,15,16,17,18,18,18,18,22,22
1,32,21,1,2,3,4,5,6,7,8,9,10,11,11,12,12,12,12,12,12,12,12,12,12,12,12,16,16,18,19,19,21,21,21
2,32,20,1,2,3,4,5,6,7,8,8,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,20,20,20,20
0,32,23,1,2,3,4,5,6,7,8,8,9,10,11,11,12,13,13,13,13,13,13,13,13,13,13,15,16,16,19,20,20,22,23
1,32,21,1,2,3,4,5,6,7,8,9,9,9,9,9,13,14,15,15,15,15,15,15,15,15,15,16,17,18,18,18,21,21,21
2,32,23,1,2,3,4,5,6,7,8,8,8,8,8,12,13,13,15,15,15,15,15,15,15,15,15,15,17,17,19,20,20,22,23
0,32,22,1,2,3,4,5,6,7,8,9,10,10,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,22,22,22
1,32,23,1,2,3,4,5,6,7,8,9,10,10,10,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,20,20,20,23
2,32,20,1,2,3,4,5,6,7,8,9,9,9,11,11,11,13,15,15,15,15,15,15,15,15,15,15,15,15,19,20,20,20,20
0,32,23,1,2,3,4,5,6,7,8,9,10,11,11,11,13,13,15,15,15,15,15,15,15,15,15,16,16,16,19,19,19,22,23
1,32,23,1,2,3,4,5,6,7,8,8,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,16,17,17,17,17,21,21,23
2,32,21,1,2,3,4,5,6,7,8,9,9,9,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,18,19,20,21,21,21
0,32,14,1,2,3,4,5,6,7,8,9,9,9,9,9,9,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1,32,23,1,2,3,4,5,6,7,8,8,9,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,20,21,22,23
2,32,21,1,2,3,4,5,6,7,8,9,10,11,12,12,13,14,16,16,16,16,16,16,16,16,16,16,17,17,20,21,21,21,21
0,32,23,1,2,3,4,5,6,7,8,9,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,17,18,19,19,19,22,23
1,32,23,1,2,3,4,5,6,7,8,8,10,10,10,12,13,13,13,13,13,13,13,13,13,13,13,16,16,16,19,20,21,22,23
2,32,20,1,2,3,4,5,6,7,8,8,8,10,10,10,10,10,14,14,14,14,14,14,14,14,14,16,16,16,19,19,20,20,20
0,32,21,1,2,3,4,5,6,7,8,8,9,9,9,9,13,14,15,15,15,15,15,15,15,15,15,15,15,18,19,20,21,21,21
1,32,22,1,2,3,4,5,6,7,8,8,8,8,11,11,13,13,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,21,22
2,32,21,1,2,3,4,5,6,7,8,8,8,10,10,10,13,13,13,13,13,13,13,13,13,13,13,16,17,18,19,20,21,21,21
0,32,23,1,2,3,4,5,6,7,8,9,9,9,9,9,13,14,15,15,15,15,15,15,15,15,15,15,17,17,17,20,21,22,23
1,32,23,1,2,3,4,5,6,7,8,8,8,10,11,12,13,13,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,22,23
2,32,24,1,2,3,4,5,6,7,8,8,8,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,18,18,21,22,23,24
0,32,21,1,2,3,4,5,6,7,8,8,8,8,8,12,13,13,16,16,16,16,16,16,16,16,16,17,17,17,19,19,21,21,21
1,32,21,1,2,3,4,5,6,7,8,8,8,10,10,12,13,13,15,15,15,15,15,15,15,15,15,16,17,17,17,17,21,21,21
2,32,22,1,2,3,4,5,6,7,8,9,10,10,11,12,13,14,15,15,15,15,15,15,15,15,15,15,17,18,18,18,18,22,22
0,32,23,1,2,3,4,5,6,7,8,9,9,9,11,12,13,13,15,15,15,15,15,15,15,15,15,15,15,18,19,20,20,20,23
1,32,22,1,2,3,4,5,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17,17,18,18,18,22,22,22
2,32,23,1,2,3,4,5,6,7,8,8,10,11,12,12,13,13,13,13,13,13,13,13,13,13,13,16,16,16,19,19,21,21,23
0,32,23,1,2,3,4,5,6,7,8,9,9,9,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,23
1,32,23,1,2,3,4,5,6,7,8,8,8,8,11,11,11,15,16,16,16,16,16,16,16,16,16,17,18,19,19,19,21,22,23
2,32,23,1,2,3,4,5,6,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17,18,20,20,21,21,23
0,32,19,1,2,3,4,5,6,7,8,9,10,10,11,11,13,13,15,15,15,15,15,15,15,15,15,15,16,17,18,19,19,19,19
1,32,23,1,2,3,4,5,6,7,8,8,8,10,11,11,11,11,15,15,15,15,15,15,15,15,15,15,15,18,18,20,20,20,23
2,32,24,1,2,3,4,5,6,7,8,9,9,9,11,11,11,14,14,14,14,14,14,14,14,14,14,14,17,19,20,21,22,23,24
0,32,23,1,2,3,4,5,6,7,8,9,9,9,11,12,12,14,14,14,14,14,14,14,14,14,14,14,14,18,18,18,21,21,23
1,32,23,1,2,3,4,5,6,7,8,9,9,10,11,12,13,13,13,13,13,13,13,13,13,13,13,16,17,18,18,18,21,21,23
2,32,24,1,2,3,4,5,6,7,8,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,17,18,18,20,21,23,24
0,32,22,1,2,3,4,5,6,7,8,9,10,11,11,11,11,15,16,16,16,16,16,16,16,16,16,17,17,17,19,19,21,22,22
1,32,24,1,2,3,4,5,6,7,8,8,8,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,18,19,19,19,19,24
2,32,23,1,2,3,4,5,6,7,8,9,10,11,11,11,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,23,23
0,32,24,1,2,3,4,5,6,7,8,8,8,10,11,12,12,14,14,14,14,14,14,14,14,14,14,16,17,17,17,17,21,21,24
1,32,23,1,2,3,4,5,6,7,8,8,9,9,9,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,22,23
2,32,22,1,2,3,4,5,6,7,8,8,9,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,18,19,19,20,22,22,22
0,32,19,1,2,3,4,5,6,7,8,8,8,8,8,8,8,14,15,15,15,15,15,15,15,15,15,16,17,17,19,19,19,19,19
1,32,23,1,2,3,4,5,6,7,8,8,9,10,11,11,11,14,14,14,14,14,14,14,14,14,14,16,17,17,19,19,21,21,23
2,32,22,1,2,3,4,5,6,7,8,9,9,10,10,10,13,13,15,15,15,15,15,15,15,15,15,15,15,18,19,19,21,22,22
0,32,17,1,2,3,4,5,6,7,8,8,8,10,11,11,11,11,11,11,11,11,11,11,11,11,11,16,17,17,17,17,17,17,17
1,32,24,1,2,3,4,5,6,7,8,9,9,9,11,11,11,11,15,15,15,15,15,15,15,15,15,15,17,18,18,18,21,22,24
2,32,23,1,2,3,4,5,6,7,8,8,8,10,10,12,13,13,15,15,15,15,15,15,15,15,15,16,16,18,20,20,21,22,23
0,32,23,1,2,3,4,5,6,7,8,8,9,10,11,11,11,11,15,15,15,15,15,15,15,15,15,16,17,18,18,20,20,22,23
1,32,23,1,2,3,4,5,6,7,8,9,9,9,11,11,13,13,15,15,15,15,15,15,15,15,15,15,17,18,19,19,21,21,23
